episode,total_reward,avg_loss,steps,epsilon,moving_avg_reward,x_pos,flag_get,coins,status,time_elapsed
136,240.0,6.255736,36,0.109064,568.3,305,0,0,small,1883.3
137,593.0,6.667051,90,0.108086,564.0,666,0,0,small,1890.2
138,1043.0,6.581145,161,0.10636,591.2,1131,0,0,small,1901.2
139,252.0,6.915829,27,0.106073,513.4,315,0,0,small,1903.5
140,244.0,7.130952,35,0.105703,434.5,308,0,0,small,1906.0
141,1030.0,6.488117,205,0.103558,513.4,1126,0,0,small,1931.3
142,738.0,6.721696,229,0.101213,563.6,841,0,0,small,1946.0
143,1035.0,6.726053,179,0.099417,642.9,1126,0,1,small,1958.3
144,250.0,7.279112,33,0.09909,605.4,314,0,0,small,1960.6
145,241.0,6.992515,37,0.098724,566.6,306,0,0,small,1963.5
146,237.0,7.395109,37,0.098359,566.3,301,0,0,small,1966.4
147,774.0,6.620881,196,0.09645,584.4,871,0,1,small,1980.0
148,248.0,6.249652,33,0.096132,504.9,312,0,0,small,1982.1
149,608.0,6.459942,61,0.095548,540.5,678,0,0,small,1986.7
150,718.0,6.408995,202,0.093637,587.9,814,0,0,small,2002.3
151,624.0,6.230517,92,0.092779,547.3,700,0,0,small,2008.7
152,249.0,7.085371,29,0.092511,498.4,312,0,0,small,2011.1
153,252.0,7.195226,27,0.092261,420.1,315,0,0,small,2012.8
154,253.0,6.438524,29,0.091994,420.4,316,0,0,small,2015.0
155,246.0,7.081833,29,0.091728,420.9,309,0,0,small,2017.1
156,606.0,6.116894,84,0.09096,457.8,678,0,0,small,2022.7
157,629.0,7.229126,93,0.090118,443.3,705,0,0,small,2028.8
158,627.0,6.611736,95,0.089266,481.2,703,0,1,small,2035.9
159,574.0,6.916557,128,0.088131,477.8,652,0,0,small,2045.4
160,1025.0,6.160652,259,0.085877,508.5,1133,0,0,small,2064.0
161,249.0,6.823153,30,0.08562,471.0,313,0,0,small,2081.0
162,243.0,6.530075,31,0.085355,470.4,306,0,0,small,2083.0
163,614.0,7.181327,118,0.084354,506.6,695,0,0,small,2091.1
164,250.0,8.282661,27,0.084126,506.3,313,0,0,small,2093.2
165,725.0,6.741131,141,0.082948,554.2,810,0,0,small,2103.2
166,586.0,6.870576,115,0.082,552.2,665,0,0,small,2111.2
167,240.0,6.920227,38,0.081689,513.3,305,0,0,small,2113.6
168,245.0,6.289234,32,0.081428,475.1,309,0,0,small,2115.9
169,236.0,7.110442,33,0.08116,441.3,300,0,0,small,2118.5
170,601.0,7.262498,78,0.080529,398.9,673,0,0,small,2124.6
171,252.0,6.46672,27,0.080312,399.2,315,0,0,small,2126.4
172,240.0,6.592948,30,0.080071,398.9,302,0,1,small,2128.4
173,252.0,5.819034,27,0.079855,362.7,315,0,1,small,2130.4
174,601.0,6.865249,172,0.078493,397.8,691,0,0,small,2141.9
175,1416.0,6.717234,215,0.076824,466.9,1516,0,0,small,2157.4
176,242.0,6.508978,28,0.076609,432.5,305,0,0,small,2159.2
177,243.0,6.458385,46,0.076257,432.8,310,0,0,small,2162.4
178,1317.0,6.744505,296,0.074033,540.0,1434,0,0,small,2182.6
179,1334.0,7.040528,198,0.072582,649.8,1431,0,0,small,2196.8
180,235.0,7.028527,39,0.072299,613.2,300,0,0,small,2199.5
